word,pos,meaning_zh,confidence,source,example_szy,example_zh
8,,walu,★★★,vocab_core,"&quot;tapukuwanay a tapuku&quot; (kamu nu Dipun: 天空の城ラピュタ) u nu Dipunay Ci-pu-li hananay a sakakawanay a kakitidaan, na i 1986 a mihcaan 8 a bulad 2 a demiadan a nipicuduhan, katanayaan nu manggaay a kacudu, u mamusulitay tuynian a sagasuan, mamukiliday, atu kungku nu sakay niletekan a mipili tu mamidimataay a tademaw sa ci Kung-ci-cing ku simuku. uyni a nikasaditan sa masa u nu 1985 a mihcaan a nipatideng ya cipuli hananay a sakakawawan, sayaway a pabinawlan nu sapaigaan itini a sapamelaw.",
9,,siwa,★★★,vocab_core,"1378 a mihcaan Li-taw-wan nu situngusay Kay-la pabeli tu tiniay a tuse ci Ma-ke-te-paw tu kasitungus. i 1503 a mihcaan katukuh 1522 a mihcaanan, uyni tuse a liwliw patizeng tu cabeng, iza 9 ku panan nu tuse atu tulu ku pucekulan. Pay-low-s misulita lalangawan ci Bo-lan-si-s-ke. S-ke-li-na i Ye-mu 1522 a mihcaan hakya, itini patizang tu Tong-Ow likisian u saayaway a kitizaan miing-swa.",
Abih,,[例] 用糠糍餵豬。,★★★,ilrdf_xml,u abih ku sapakan tu pabuy.,用糠糍餵豬。
Abu,,[例] 灰燼可作肥料。,★★★,ilrdf_xml,kapah maladamek ku abu.,灰燼可作肥料。
Ahay,,[例] 我的名字叫Ahay。,★★★,ilrdf_xml,ci Ahay ku ngangan nu maku.,我的名字叫Ahay。
Aic,,[例] 我哥哥的名字叫Aic。,★★★,ilrdf_xml,ci Aic ku ngangan nu kaka aku.,我哥哥的名字叫Aic。
Alik,,[例] 我的名字叫Alik。,★★★,ilrdf_xml,ci Alik ku ngangan nu maku.,我的名字叫Alik。
Alupalan,,[例] 力拿恆部落在壽豐鄉內。,★★★,ilrdf_xml,i Linahem ku niyazu' nu Alupalan.,力拿恆部落在壽豐鄉內。
Amuy,,[例] 我的名字叫Amuy.,★★★,ilrdf_xml,ci Amuy ku ngangan nu maku.,我的名字叫Amuy.
Ancuh,,[例] 花蓮縣玉里鎮樂合里安通部落,★★★,ilrdf_xml,Kalingku Pusku Luhuk kuwan Ancuh a niyazu'.,花蓮縣玉里鎮樂合里安通部落
Angah,,[例] Angah 去哪裡?,★★★,ilrdf_xml,tacuwa ci Angah?,Angah 去哪裡?
Apalu,,[例] 麵包果放小魚干好吃。,★★★,ilrdf_xml,asu' ku heci nu apalu pahipuwan.,麵包果放小魚干好吃。
Api,,[例] 我跟 Panay 是雙胞胎。,★★★,ilrdf_xml,u api nu maku ci Panay.,我跟 Panay 是雙胞胎。
Asing,,[例] 我的名字叫Asing.,★★★,ilrdf_xml,ci Asing ku ngangan nu maku.,我的名字叫Asing.
Ating,,[例] Ating 的身體怎樣了?,★★★,ilrdf_xml,mahica ku uzip ni Ating?,Ating 的身體怎樣了?
Babah,,[例] Babah 是心地善良的人。,★★★,ilrdf_xml,kapahay ku balucu' ni Babah.,Babah 是心地善良的人。
Batu,,[例] Batu很內向。,★★★,ilrdf_xml,matemuy ci Batu.,Batu很內向。
Bedi',,[例] 哪位是叫Bedi'的?,★★★,ilrdf_xml,cima kya ci Bedi' hanayany?,哪位是叫Bedi'的?
Benel,,[例] 梅雨季雨下不停。,★★★,ilrdf_xml,benel a puu'palalid ku udad.,梅雨季雨下不停。
Bicili,,[例] 你的名字叫Bicili 嗎？,★★★,ilrdf_xml,ci Bicili ku nangan nu misu?,你的名字叫Bicili 嗎？
Bineng,,[例] Bineng 是溫柔的人。,★★★,ilrdf_xml,damsayay tademaw ci Bineng.,Bineng 是溫柔的人。
Buku,,[例] Buku禿頭了。,★★★,ilrdf_xml,maanal tu ku tangah ni Buku.,Buku禿頭了。
Bulaw,,[例] 清兵就這樣對撒奇萊雅族人戰爭。,★★★,ilrdf_xml,bulaw sa ku Hulam tu Sakizaya a tademaw.,清兵就這樣對撒奇萊雅族人戰爭。
Bunga,,[例] 你的老公叫Bunga嗎?,★★★,ilrdf_xml,ci Bunga ku acawa isu?,你的老公叫Bunga嗎?
Bunuk,,[例] Bunuk 是你的妹妹嗎?,★★★,ilrdf_xml,ci Bunuk ku sabana isu?,Bunuk 是你的妹妹嗎?
Bunuy,,[例] Bunuy是老闆。,★★★,ilrdf_xml,u tawki ci Bunuy.,Bunuy是老闆。
Butud,,[例] 我很想去蘭嶼。,★★★,ilrdf_xml,maydih kaku tayza i Butud.,我很想去蘭嶼。
Butuday,,[例] Pasang 的伴侶是蘭嶼人。,★★★,ilrdf_xml,siacawa tu ci Pasang tu nay Butuday.,Pasang 的伴侶是蘭嶼人。
Dataw,,[例] Dataw 是一位老人。,★★★,ilrdf_xml,u babalaki ci Dataw.,Dataw 是一位老人。
Daung,,[例] 豬排加樹豆一起煮很好吃。,★★★,ilrdf_xml,baduwac nu pabuy pacamulen tu daung a misalami' asu' kanen.,豬排加樹豆一起煮很好吃。
Dawak,,[例] Dawak 是女生。,★★★,ilrdf_xml,u tatayna ci Dawak.,Dawak 是女生。
Di',,[例] 我的名字叫Di'。,★★★,ilrdf_xml,ci Di' ku ngangan nu maku.,我的名字叫Di'。
Dinga',,[例] Dinga' 是Tangabulan(平埔族)的小孩。,★★★,ilrdf_xml,u wawa nu Tangabulan ci Dinga'.,Dinga' 是Tangabulan(平埔族)的小孩。
Mancelan,,[例] 松浦里松浦部落是在花蓮縣玉里鎮。,★★★,ilrdf_xml,Kalingku Puseku kuwan ku Mancelan niyazu'.,松浦里松浦部落是在花蓮縣玉里鎮。
Mangis,,[例] Mangis 在部落算是最聰明的人。,★★★,ilrdf_xml,sitangahay ci Mangis i niyazu'a tademaw.,Mangis 在部落算是最聰明的人。
Matadim,,[例] 馬太林部落在花蓮縣玉里鎮的春日里。,★★★,ilrdf_xml,Kalingku Puseku a kuwan ku Matadim a niyazu',馬太林部落在花蓮縣玉里鎮的春日里。
Mau',,[例] Mau'是個勤奮的人。,★★★,ilrdf_xml,maylayay tademaw ci Mau'.,Mau'是個勤奮的人。
Mayaw,,[例] Mayaw是我的父親。,★★★,ilrdf_xml,u ama aku ci Mayaw.,Mayaw是我的父親。
Miciyang,,[例] Miciyang是我的姊姊。,★★★,ilrdf_xml,u kakana aku ci Miciyang.,Miciyang是我的姊姊。
Mues,,[例] 矮子。,★★★,ilrdf_xml,ci mues.,矮子。
Muli,,[例] Muli 很會笑。,★★★,ilrdf_xml,Kalatawa ci Muli.,Muli 很會笑。
Nakaw,,[例] Nakaw是Kacaw 的小孩。,★★★,ilrdf_xml,u wawa ni Kacaw ci Nakaw.,Nakaw是Kacaw 的小孩。
Natawlan,,[例] 我家住在荳蘭。,★★★,ilrdf_xml,i Natawlan ku luma' nu maku.,我家住在荳蘭。
Ngucih,,[例] 兔唇的人不能直接叫缺口。,★★★,ilrdf_xml,ci ngucih amana ka sa tu mangucihay.,兔唇的人不能直接叫缺口。
Nunuz,,[例] Nunuz 長大了。,★★★,ilrdf_xml,balaki tu ci Nunuz.,Nunuz 長大了。
Palud,,[例] 我父親對廚房的工作很在行。,★★★,ilrdf_xml,matineng ci ama nu maku tu kawaw nu palud.,我父親對廚房的工作很在行。
Pasang,,[例] Pasang現在不知在哪裡了？,★★★,ilrdf_xml,i cuwa tu ci Pasang?,Pasang現在不知在哪裡了？
Payu,,[例] 我弟弟的名字叫Payu。,★★★,ilrdf_xml,ci Payu ku ngangan nu saba nu maku.,我弟弟的名字叫Payu。
Pintung,,[例] 我家住屏東。,★★★,ilrdf_xml,i Pintung ku luma' nu maku.,我家住屏東。
Pudaw,,[例] 在海邊網魚苗。,★★★,ilrdf_xml,lilis nu bayu micadiway tu pudaw.,在海邊網魚苗。
Pulet,,[例] 那個人很矮小。,★★★,ilrdf_xml,pulet kiya tademaw.,那個人很矮小。
Puseku,,[例] 花蓮縣玉里鎮。,★★★,ilrdf_xml,Kalingku Puseku a kwan.,花蓮縣玉里鎮。
Putal,,[例] Putal是勤勞的人。,★★★,ilrdf_xml,maylayay a tademaw ci Putal.,Putal是勤勞的人。
Salasalaw,,[例] Salasalaw會將人帶至懸崖峭壁、刺竹林中。,★★★,ilrdf_xml,liliden nu Salasalaw ku masabaay niza a tademaw patayza i tepad atu i teban nu tengawen.,Salasalaw會將人帶至懸崖峭壁、刺竹林中。
Sapat,,[例] 掃叭頂部落靠近石柱的所在地(Satuku)。,★★★,ilrdf_xml,micapi tu Satuku ku Sapat a niyazu'.,掃叭頂部落靠近石柱的所在地(Satuku)。
Satebu,,[例] 德武部落是玉里鎮最南邊的部落。,★★★,ilrdf_xml,makaamis tu nu Puseku ku Satebu.,德武部落是玉里鎮最南邊的部落。
Satuku,,[例] 大家都以為石柱的所在地叫掃八頂，但是石柱所在地就是叫Satuku。,★★★,ilrdf_xml,"u Sapat sa ku katuuday tu Satuku, nika u Satuku ku Satuku.",大家都以為石柱的所在地叫掃八頂，但是石柱所在地就是叫Satuku。
Sau',,[例] Sau'是病死的。,★★★,ilrdf_xml,u imelang ku sakapatay ni Sau'.,Sau'是病死的。
Saway,,[例] 叫Saway的都很帥。,★★★,ilrdf_xml,ci Saway hananay malakapah.,叫Saway的都很帥。
Sawmah,,[例] 不分男生女生都可以命名叫Sawmah。,★★★,ilrdf_xml,tatayna tatama kapah panganganen tu Sawmah hananay.,不分男生女生都可以命名叫Sawmah。
Sedeng,,[例] 被咬人貓咬到要用姑婆芋來治療。,★★★,ilrdf_xml,makalat nu sedeng sa u tabayal ku sapaiyu.,被咬人貓咬到要用姑婆芋來治療。
Sekab,,[例] Sekab住在豐濱。,★★★,ilrdf_xml,i Bakung ku luma' ni Sekab.,Sekab住在豐濱。
Sela,,[例] Sela 是我的小孩。,★★★,ilrdf_xml,u wawa nu maku ci Sela.,Sela 是我的小孩。
Sigyi,,[例] Sigyi搶Panay的錢包。,★★★,ilrdf_xml,mialaway ci Sigyi tu papaysu'an ni Panay.,Sigyi搶Panay的錢包。
Silamitay,,[例] 我在豐南部落購買穀子。,★★★,ilrdf_xml,i Silamitay micakay kaku tu tipus.,我在豐南部落購買穀子。
Sililasay,,[例] 我住在月眉部落。,★★★,ilrdf_xml,i Sililasay ku luma' nu maku.,我住在月眉部落。
Silu,,[例] 我的名字叫Silu。,★★★,ilrdf_xml,ci Silu ku ngangan nu maku.,我的名字叫Silu。
Sinsiya,,[例] 新社部落大多數是噶瑪蘭的族人。,★★★,ilrdf_xml,u Kabalan a tademaw ku katuuday i Sinsiya.,新社部落大多數是噶瑪蘭的族人。
Sipun,,[例] Sipun 是漢人。,★★★,ilrdf_xml,u layak ci Sipun.,Sipun 是漢人。
Siwin,,[例] Siwni這名字是由中文來的。,★★★,ilrdf_xml,nanu Hulam a ngangan ku Siwin hananay.,Siwni這名字是由中文來的。
Siyu,,[例] Siyu 的學校在哪裡?,★★★,ilrdf_xml,icuwa ku cacudadan ni Siyu?,Siyu 的學校在哪裡?
Tabalong,,[例] 太巴塱部落在花蓮的光復鄉。,★★★,ilrdf_xml,Kalingku Bataan kuwan ku Tabalong niyazu'.,太巴塱部落在花蓮的光復鄉。
Tadatadah,,[例] 傳說馬立雲有綠色鬼火出現在部落。,★★★,ilrdf_xml,tengilan izaw ku Tadatadah a Di'tu i Maibul sa.,傳說馬立雲有綠色鬼火出現在部落。
Tadisu,,[例] Tadisu是誰的小孩?,★★★,ilrdf_xml,wawa nima ci Tadisu?,Tadisu是誰的小孩?
Taydung,,[例] 別人都稱Taydung是飯桶。,★★★,ilrdf_xml,mabukah ci Taydung.,別人都稱Taydung是飯桶。
Taymu,,[例] Taymu坐在我的後面。,★★★,ilrdf_xml,i nuzikuzan nu maku mu'neng ci Taymu.,Taymu坐在我的後面。
Taypinyang,,[例] 臺灣的東方是太平洋。,★★★,ilrdf_xml,nuwalian nu Taywan u Taypinyang a bayu.,臺灣的東方是太平洋。
Tenged,,[例] Tenged是個老實人。,★★★,ilrdf_xml,inanengay tademaw ci Tenged.,Tenged是個老實人。
Tuing,,[例] 桃園縣有很多原住民。,★★★,ilrdf_xml,katuud ku Incumin i Tuing.,桃園縣有很多原住民。
Tukal,,[例] 用竹子做成的梯子很快就爛掉了。,★★★,ilrdf_xml,kalamkam mapuhed ku nu auk a tukal.,用竹子做成的梯子很快就爛掉了。
Tulay,,[例] 馬立雲部落沒有人叫Tulay 的。,★★★,ilrdf_xml,inayi' i Maibul ku singanganay tu Tulay.,馬立雲部落沒有人叫Tulay 的。
Tuy,,[例] 長輩撒嬌的稱小男孩tuy。,★★★,ilrdf_xml,tuy han nu babalaki ku tatama a wawa milimula'.,長輩撒嬌的稱小男孩tuy。
Ubad,,[例] 我滿頭白髮了。,★★★,ilrdf_xml,sangelac sa tu ku ubad nu tangah nu maku.,我滿頭白髮了。
Ulaw,,[例] Ulaw地名亦可作為人名使用。,★★★,ilrdf_xml,kapah pangangan tu Ulaw hananay.,Ulaw地名亦可作為人名使用。
Umas,,[例] Umas長的很帥。,★★★,ilrdf_xml,tanestes ci Umas.,Umas長的很帥。
Umin,,[例] Umin幾歲了?,★★★,ilrdf_xml,pinatu ku mihcaan ni Umin?,Umin幾歲了?
Using,,[例] Using是個勤奮的人。,★★★,ilrdf_xml,maylayay ci Using misakakawaw.,Using是個勤奮的人。
Utul,,[例] Utul是哪個部落的?,★★★,ilrdf_xml,i cuwaay ku niyazu' ni Utul?,Utul是哪個部落的?
Uya,,[例] Uya是穩重的。,★★★,ilrdf_xml,manunengay a tdemaw ci Uya.,Uya是穩重的。
Watan,,[例] Watan看起來很兇。,★★★,ilrdf_xml,maedes azihen ci Watan.,Watan看起來很兇。
Wayan,,[例] Wayan種很多地瓜。,★★★,ilrdf_xml,yadah ku nipalumaan ni Wayan tu tubah.,Wayan種很多地瓜。
a'nengan,,[例] 我的座位是哪一個？,★★★,ilrdf_xml,i cuwaay kiza a'nengan nu maku?,我的座位是哪一個？
aadihan,,,★☆☆,corpus_highfreq,"""nidimutan a budawa ni So-lo-menay a hung-ti"" (King Solomon's Mines) u nu Ingguay a misulitay tu kungku nu aadihan a cudad, ci Heng-li Lay-te Ha-ke-te (Hennry Rider Haggard) a kasingangan nu nikalekuan a pisulitan, iti 1885 a mihcaan patahkal tu sapaadihan. nidatengan sa namakay i Lo-po Lu-i-se Se-ti-wen-senay a ""nukingmay nu gingnay a subal"". i Taywan sa iti 1970 a mihcaan ya nu walianay nu masakapahay sakay nu sulu nu ulic a nipatahkalan, tina nisulitan a kungku kaidawan tu nu hulamay a saedap",
aadupan,,,★☆☆,corpus_highfreq,* kasasumay (界)：kasazumaay aadupan (動物界) Animalia * sacumud (門)：sacumud dami’ay aadupan (軟體動物門) Mollusca * uzip (綱)：uzip bili ku sapiculil (腹足綱) Gastropoda * mata (目)：mata dawmiay uzip (主扭舌目) Architaenioglossa * pulung (總科)：pulung samataan kuhkuh (田螺總科) Viviparoidea * samataan (科)：samataan kuhkuh (田螺科) Viviparidae,
aadupen,,[例] 動物生存在山裡。,★★★,ilrdf_xml,i buyubuyu'an ku aadupen a mauzip.,動物生存在山裡。
aaidangan,,,★☆☆,corpus_highfreq,"1978 amihcaan 9abulad , tini i huwa-sen-tun-ke-lun-pi-ya sapasubana’ acuda nu masakaputay nu kitakit nisubelidan tu zaysang a wiy-yun- huy sakinatusa milubang , u amilika sayaway misulul tu tusaay a zaysang nu nisubelitan amaala “kitakitzaysang nu singanganay” malacal tu hu-te-tay-ti- nu kanatal aaidangan atu takuliyaway aaidangan .",
aam,,[例] 早餐吃的是稀飯。,★★★,ilrdf_xml,u aam ku sakalanam tu sananal.,早餐吃的是稀飯。
aamen,,[例] 乞丐去向 Bunga 乞討地瓜！,★★★,ilrdf_xml,aamen nu miaamay ku tubah ni Bunga!,乞丐去向 Bunga 乞討地瓜！
aatalan,,[例] 飯鍋是用來盛飯的。,★★★,ilrdf_xml,aatalan tu hemay ku siuy.,飯鍋是用來盛飯的。
aayad,,[例] 白蟻喜歡潮濕的木頭。,★★★,ilrdf_xml,manamuh tu masengetay a kilang ku aayad.,白蟻喜歡潮濕的木頭。
aazihan,,[例] 他製作的成品可供大家作樣品。,★★★,ilrdf_xml,u aazihan tu nu katuuday ku nisanga'an niza.,他製作的成品可供大家作樣品。
abala,,[例] 我的肩牓受傷了。,★★★,ilrdf_xml,maduka ku abala nu maku.,我的肩牓受傷了。
abalaen,,[例] 男人要扛起家庭的責任！,★★★,ilrdf_xml,i abalaen nu tatama ku sapidiput tu lalabu nu luma'!,男人要扛起家庭的責任！
abesa',,[例] Bunuk 煮的菜很清淡。,★★★,ilrdf_xml,abesa' ku ni salami' ni Bunuk.,Bunuk 煮的菜很清淡。
abesa'ay,,[例] 老人們要吃的清淡。,★★★,ilrdf_xml,ka u abesa'ay ku kakanen nu babalaki.,老人們要吃的清淡。
abibi,,[例] 媽媽抱小孩。,★★★,ilrdf_xml,abibi tu wawa ci ina.,媽媽抱小孩。
abibien,,[例] 過河的時候要把小孩抱起來！,★★★,ilrdf_xml,abibien ku wawa a milakec tu sauwac!,過河的時候要把小孩抱起來！
abibiyan,,[例] 阿嬤被 Edi'抱起來。,★★★,ilrdf_xml,abibiyan ni Edi' ci bayi niza.,阿嬤被 Edi'抱起來。
abinung,,[例] 這顆椰子樹長得太高了。,★★★,ilrdf_xml,tadatakalaw ku langaw nina abinung.,這顆椰子樹長得太高了。
abuabuwan,,[例] 這隻狗是灰色的。,★★★,ilrdf_xml,abuabuwan ku kulit nina wacu.,這隻狗是灰色的。
abulad,,,★☆☆,corpus_highfreq,1. panutek tu sikay 11 abulad 10 a bataan kanikalan a tatukian &quot;mahamin tu a masatedep ku kalalais&quot;. (u sulit nu hulam: 確認從11月10日清晨1點起「全面停火」；),
aca,,,★☆☆,corpus_highfreq,"""Luye hananay i satalakaway a picekulan"" u kitidaan sa i Pusung ya Luye a kenis Yung-an a niyadu’, i kasaamisan niya talakaway a masaniyadu’ ya Lung-tin han, nipicidekan ku nikasaan kiyu i limaay a bataan nu mihcaan sa, u papalumaan aca tu ya uciya a caciwmungan a kitidaan, sakay nu Taywanay pikingkiwan tu sasakapah tu sikacakat nu uciya, katinengan ku nika sakahenulan nu sakaidaw.",
aca1,,[例] 我去付麵錢。,★★★,ilrdf_xml,paaca kaku tu nialaan nu maku tu walay.,我去付麵錢。
aca2,,[例] Bunuk 和 Benel 本來就不會煮菜。,★★★,ilrdf_xml,maliyuh aca ci Bunuk aci Benel misalami'.,Bunuk 和 Benel 本來就不會煮菜。
acacay,,,★☆☆,corpus_highfreq,"Butud u silamalay nu buyu a subalan nu kitidaan, satalakaway u Hung-tuo buyu talakaw lima a lasubu sepat a bataan idaw ku walu (548) a kun-ce, u enal namin, subal u adidiay a buyuan, sauwac masakenis, u dadisapan acacay ku enel, masangangiw ku dadisapan, kilakilangan namin. Butud a lala’ u ciaw-san-se a an-san-se a ba’tuan atu sin-u-yen a ba’tuan.",
acak,,[例] 曬在廣場上的衣服自然就乾了。,★★★,ilrdf_xml,acak sa ku nipawalian a zikuc i putah.,曬在廣場上的衣服自然就乾了。
acaken,,[例] 要把你曬的玉米曬乾！,★★★,ilrdf_xml,acaken ku ni pawaliyan nu misu a kubkub!,要把你曬的玉米曬乾！
acasa,,[例] 當然要去。,★★★,ilrdf_xml,acasa haw ka tayza.,當然要去。
acaw,,[例] 就這樣從水缸裡舀水。,★★★,ilrdf_xml,acaw han ku nanum i caykeng.,就這樣從水缸裡舀水。
acawa,,[例] Panay 的丈夫是 Kacaw。,★★★,ilrdf_xml,acawa ni Panay ci Kacaw.,Panay 的丈夫是 Kacaw。
acawen,,[例] 把大鍋裡的水舀掉！,★★★,ilrdf_xml,acawen ku nanum i dangah!,把大鍋裡的水舀掉！
aci,,,★☆☆,corpus_highfreq,* nisulitan ni Mahi Takas aci Uwi Habay.,
ada,,[例] 人的敵人是蛇。,★★★,ilrdf_xml,u ada nu tademaw sa u bawu.,人的敵人是蛇。
adada,,[例] 皮膚被刺到很痛。,★★★,ilrdf_xml,adada macucuk ku banges.,皮膚被刺到很痛。
adada',,[例] 不是只有老人會駝背。,★★★,ilrdf_xml,caay kau babalaki adada' ku makunulay.,不是只有老人會駝背。
adadaay,,[例] Pudaw 痛的是右腳。,★★★,ilrdf_xml,u kawanan a kuku' ku adadaay ni Pudaw.,Pudaw 痛的是右腳。
adadaen,,[例] Taymu 說的話讓我感覺很痛。,★★★,ilrdf_xml,adadaen kaku tu kamu ni Taymu.,Taymu 說的話讓我感覺很痛。
adasay,,[例] 願神祝福我們。,★★★,ilrdf_xml,adasay mapadaesu nu pabaway Di'tu kita.,願神祝福我們。
adead,,[例] Kacaw 翻衣櫃的衣服。,★★★,ilrdf_xml,adead han ni Kacaw ku zikuc i bankuy.,Kacaw 翻衣櫃的衣服。
adeaden,,[例] 把你的重擔說出來！,★★★,ilrdf_xml,adeaden ku baeketay a nizateng nu misu!,把你的重擔說出來！
adeadenmay,,[例] 翻翻看背袋裡面還有多少檳榔？,★★★,ilrdf_xml,adeadenmay kiya subuk anu hacica tu ku da'dac?,翻翻看背袋裡面還有多少檳榔？
adeci,,[例] Mayaw 喜歡吃箭筍。,★★★,ilrdf_xml,manamuh mukan tu adeci ci Mayaw.,Mayaw 喜歡吃箭筍。
ademiad,,,★☆☆,corpus_highfreq,1538 a mihcaan 8ay a bulad 6 ademiad kung-ca-lu. Si-may-nay-ce.te.kuy-sa-ta naw u ci-pu-ca a tademaw nu adidiay a sayku u pa-ta-ka u imisa “talakaway a umaumahan sa” mihapiy a patideng tu Puketa.,
adiadideman,,[例] 我家後面是桑樹園。,★★★,ilrdf_xml,adiadideman kiya nuzikuzan nu luma' niyam.,我家後面是桑樹園。
adidem,,[例] 把桑葚釀成米酒。,★★★,ilrdf_xml,u sasaepahen ku heci nu adidem.,把桑葚釀成米酒。
adideman,,[例] 我家前面是桑樹園。,★★★,ilrdf_xml,adideman ku nuayawan nu luma' niyam.,我家前面是桑樹園。
adidemen,,[例] 去採收成熟的桑葚！,★★★,ilrdf_xml,adidemen ku mabunalay a heci nu adidem!,去採收成熟的桑葚！
adidi,,,★☆☆,corpus_highfreq,1867 a mihcaan 6 a bulad 11 a demiad  “ in-cin-3 a mihcaan 5 ay abulad 9 a demiad” Yi-nen-ka-ci lecuhan i dipun yi-yi-heng-tin a niyadu’ baluhay a luma’ “ aydaay nu yin-se-king yin-yi-si timulay a maci” nanu adidi i baku anikuwanan muculcul minanam tu cuda.,
adidi',,[例] 我只種了一些菜。,★★★,ilrdf_xml,adidi' ku nipaluma nu maku tu lami'.,我只種了一些菜。
adidi'ay,,[例] 我喜歡小車。,★★★,ilrdf_xml,u adidi'ay ku kanamuhan aku a kazizeng.,我喜歡小車。
adidi'en,,[例] 少吃甜食。,★★★,ilrdf_xml,adidi'en ku ni kan tu piyang.,少吃甜食。
adidi'henay,,[例] 小時候我常去串菸葉賺領用錢。,★★★,ilrdf_xml,adidi'henay kaku sa mitusul tu papah nu tabaku mietan.,小時候我常去串菸葉賺領用錢。
