word,pos,confidence,source,example_szy,example_zh
akawaw,,★☆☆,corpus_highfreq,"1909 amihcaan, ciYi-nen-ciya-ci mahedek ku ""tabakiay a dipu nu cudad musilac -u taywan"" 1922 amihcaan ""taysiwsabaw cacay a mihcaan"" upulung nu mikuwanay patideng tu ""taywan a mikuwanay naemekan anikaydaan a wiyunhuy muawaw ci Yi-nen-ciya-cimamisulit tunu cin-day a taywan nu naemekan, wonisa pasayni i taywan nu naemekan macalilaw tabaki a akawaw a ""taywan lalangawan a kawaw"".",
akay,,★☆☆,corpus_highfreq,"1465 amihcaan, kutenpaw malaidaw ku kapahay u tinsukiw nu tapang pabi han cinida tu kapahay a ngangan “Hofmann” angangan. Ina ngangan maka patayni tu kibetulaynu nuepeu. Imahin akay taluma tu cinida i mayince.",
akuti'ay,,★☆☆,corpus_highfreq,"i hekalay micuda, mikuliay a wawanamin, tu mihmihcaan u sapaengaw sakaydihan a taluma' maydih mukan tu akuti'ay a mulimuli, u aheciday u sicedamay kapah tu namin, micunus tu sakayicelang nu udip, kya idaw ku satulin mikuli ihekal.",
al,,★☆☆,corpus_highfreq,Salman bin Hamad Al Khalifa,
alahican,,★☆☆,corpus_highfreq,11. 個性是你一生中最可貴的品質。 alahican anu cacay acabku nu mukasi a cida kikapahan ku kamu aca.,
alan,,★☆☆,corpus_highfreq,"18 a bulad nadikudan , pa-pi-lu a hitay mikiayaw mueneng tina tukayan mamin pecian nu heni , u cabeng nu langat papeci, u kiwkay tuduhan , tabakiay a kiwkay I labuay a ekim nu cancanan mamin alan ni pa-pi-lun.",
alaw,,★☆☆,corpus_highfreq,"""i sulesuledaan kalalikeluhan"" (nu Yin-ku a kamu: Frozen) sakay nu 2013 a mihcaan masa nu igagay i tinnaway pisanga a datuk, musiluyay u 3D hananay a kacudu, na u Ti-se-niay nu manggaay nipasanga palekal tuynian atu pakacuduay a kusi nipasiwbayan, saka nu ngatu saka 53 kayadah nu Ti-se-niay pidepitanay i balucu’ a masatanayuay mangga, sipasumad tunuya mulaay a kungku ni Antesen hananay ya ""sulesuledaan a tapang nu tatayna"". ina kacudu sa u pacuyakuay tu nu matalulay a kungcu, iti nipacabayan nu ",
ali,,★☆☆,corpus_highfreq,"1945 a mihcaan 4 a bulad 28 a demiad Su-lyen sumanahay a hitay micumud milais tu Pow-lin tuse a kitizaan. ci Si-te-le musakamu tu sakakaay a kayngung ci Ten-ni-ce u mamicaluk tu sakakaay nu mikeliday, pasakamu tu pu-cang ci Ke-pey-alan mala micalukay nu situngusay mikuwan, tang-u-pucang ci Paw-man mala u micalukay nu na-suy-tang-so, patulun zakepen ku cayay pikilulay ci Ke-li atu ci Si-mu-lay, ayaw kuwangen henay niza ci I-wa.Pu-law-en a ali misabalucu’ay milaliw nu misebengay a sakapu nu mikeli",
ami,,★☆☆,corpus_highfreq,"20 asiki, u nisulitan nida hina alan nutaw palabaluhayay a sapasubana’ sumade miliyaw aca matepa nu heni ku epuc. u nisulita nida katukuh ayda u sakanamuhan, i kitakt a cikiw cayay naming kalecad ku lalangawan atu sapikuwan nu tatudung ami patahekal a tu micuyaku pasubana’.",
amicunus,,★☆☆,corpus_highfreq,"1970 a mihcaan nu nadikudan , mukilul tu kitakit u kung-yi a kanatal u sapilacul caay pisengal amicunus , u sapatalakaw tu sapaculil tu saculil sapananam tu sapilaculu macakatay maydih tu , te-ku, dipun, amilika, ciya-nata, huwa-ku, ing-ku, cung-huwa zen-min kung0he-ku, su-lin a kanatal madaduduc malungatu misanga tu manabaway a tipid a si-tung amilingatu .",
amihcaan,,★☆☆,corpus_highfreq,"12 kumihcaan nida tayda i yitali, sayaway sa i ssisili, milan, napulese tidamaudip, 1553 amihcaan i lumasenyihan, latelam a kiwkay malamutuduay mudadiw.",
amilika,,★☆☆,corpus_highfreq,""" nu tuse nu aadupan"" iti 2016 a mihcaan 2 a bulad 13 a demiad i Pilise a kanatal ya Pulusay-el i pilisinan tu kacudu a demiad palekal tu nikasayawan a pazizaw, kalecadan nu mihcaan i 3 a bulad 4 a demiadan iti kaamisan nu Amilika a buluku u 2D, 3D, RealD, IMAX 3D a kasaditan papizizaw tu mimelaway. nipazizawan nu kacudu sa, i nu dikudan kapah amin a piliclic nu mikinaulay, katuud ku miliclicay nu mitesekay a tademaw patatudu tu lima sikasenengan ku datuk nu masakaputay, u ulic nu kungku, atu pi",
amisan,,★☆☆,corpus_highfreq,"# 阿塔科拉山位於國境西北部，東北-西南向，最高處為2146公尺。 # ya Atakela a buyu sa i nu etipan pasay amisan nu kanatal, kalawalian nu amis, nutip sa pakay nu tatimulan ku sasuayawan, u satalakaway sa i 2146 m. # 尼日河平原位於貝南東北 # ya Nize hananay a sauwac sa iti Benin a enal pasay nu walian inu amisan.",
an,,★☆☆,corpus_highfreq,* Fata’ an (u kamu nu Hulam:花蓮縣光復鄉馬太鞍部落) * 馬太鞍地區6村：,
and,,★☆☆,corpus_highfreq,"&lt;Amilika&gt;Clausena excavata is a species of evergreen shrub 1–2 m tall, in the family Rutaceae, native to Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, the Philippines, Taiwan, Thailand, and Vietnam.",
anderson,,★☆☆,corpus_highfreq,"Alan Anderson (10 a bulad 16 a demiad, 1982 a mihcan), Alan Anderson, miunduay.",
angangan,,★☆☆,corpus_highfreq,"&quot;tenesay a kenis&quot; (老城, Old City) u maci nu angangan a aaidangan, &quot;sasaedeb nu tenesay a kenis&quot; (老城門, Kofar Mata Gate) taneng makatukuh i tebanan a Ci-Cen-Se (中央清真寺).",
anika,,★☆☆,corpus_highfreq,"1:nilaculan atu kakanan nu Cou nu tuas anika uzip atu nupakalisuway nika uzip izaw ku ni ""kalukan, miadup, mibuting atu misupet tu canacana"" nu tademaw, maluk tu hapay tipus, uzupa', tali, unian kukakanan nu Cou a binacadan.",
apuyu,,★☆☆,corpus_highfreq,"Cinaiya-pisu (幾內亞比索) a tademaw nikaudip/nikauzip nuheni apuyu’ miki apuyu tu mucelakay a kanatalan a tademaw, tatamaan nuheni nikaudipan han 45.05 a mihcaan, u tatayna nikaudip han 48.75 a mihcaan.",
apuyuay,,★☆☆,corpus_highfreq,Cinaiya-pisu (幾內亞比索) nu laylay a dikuc pinaa tungduh kalibutan sa ca'dungan. tatama hantu manamuh tu apuyuay syace (襯衫) atu apuyuay a calaped caaya kaw tada cacaluken a dikucan.[https://www.boca.gov.tw/sp-foof-countrycp-03-250-5289e-05-1.html],
arab,,★☆☆,corpus_highfreq,"A-lan (United Arab Emirates (阿聯) u Ise-lan (Islamic (伊斯蘭) lalangawan ku sakakaay, atu nuduma a Ala-puo (Arab (阿拉伯) nu kanatal masasungay kunuheni. cenhu (政府) hantu midiput tu laylay nu namaka babalakiay a nalimaan atu lalangawan, atu A-puta-pi (Abu Dhabi (阿布達比文化基金會) lalangawan cicinhun a makakadum.",
are,,★☆☆,corpus_highfreq,"A backpack — also called bookbag, kitbag, knapsack, rucksack, pack, or sackpack backsack — is, in its simplest form, a cloth sackcarried on one's back and secured with two straps that go over the shoulders, but there can be variations to this basic design. Lightweight types of backpacks are sometimes worn on only one shoulder strap.",
as,,★☆☆,corpus_highfreq,"A flood is an overflow of water that submerges land that is usually dry. The European Union (EU) Floods Directive defines a flood as a covering by water of land not normally covered by water. In the sense of &quot;flowing water&quot;, the word may also be applied to the inflow of the tide.",
asa,,★☆☆,corpus_highfreq,"1966 a mihcaan 9 a bulad 30 a bataan muliyas tu United kimgdom (英國), kunida sa pasumad tu ngangan nu kanatal mala u Botswana tu, nikalingatuan palaheci tu sakalacenceay, mabilil pasapal ya sakay siyakay a cedang atu kasalubic nu tuudtuud sakalecad niya (sangaleben tu ya budawan, kacalapan tu tahkalay nu nitanan a nipacakay makaala tu waluay kayadah), nikaidaw nu sakakapah nu sikalisiw, sakaidaw nu Botwana tu i Africa kayadahay nu patadas tu aalaan tu sakay nu budawan. caay ka uyni adada, misabil",
asaca,,★☆☆,corpus_highfreq,"1656 a mihcaan, ci Low-ke pakala tu sye-s-sye-wiy, kilul i 1658 a mihcaan pakala tu su-s-sye-wiy. tiza i Niw-cin katuud ku minanamay migingkiway tu imelang. asaca nakatuud ku singanganay a keseycye mahizaay ci Low-pow-te.Powi-al,Low-pow-te.Bud-ke kapulung a kawaw, 1656 a mihcaan ci Low-ke pakala tu i-sye-sye-s a sye-uyw.",
asia,,★☆☆,corpus_highfreq,"1499 a mihca , sakahini “Todesillas a nikasasulitan (托德西利亞斯條約)”, sakay i si-cin (西經) 50 tu i satipan nu lala’ nu Spain (西班牙), i sawalian a lala’ nu Portugal (葡萄牙), u Portugal a tademaw (葡萄牙人) namakayni mialaw tu Asia (亞洲) atu Africa (非洲) a kenis, u etipay a Amilikaan (南美洲) hamin u nu Spain (西班牙) amin. kyu malingatu ku kalung mababaliay, u Portugal a tademaw (葡萄牙人) sacacay sa midepung tu Africanay (非洲的) a kalung nu tayniay atu tahkalay a nipikuwan . sikahini malinges tu ku Spain (西班牙), u Spain (西",
association,,★☆☆,corpus_highfreq,* [https://en.wikipedia.org/wiki/Lists_of_National_Basketball_Association_players Lists of National Basketball Association players],
atademaw,,★☆☆,corpus_highfreq,"&lt; mipuhpuh tu sakasenengan a lala’ sa &gt;, (u kamu nu Botswana; ya Fatsena Ieno la rona) u sakanu Botswanaay a dadiw, u misulitay atu pacunusay tu datuk sa, nalimaan amin niya Kehalay-man-he’, Mocay-tay. atademaw ku. kalingatuan i 1996 a mihcaan.",
au,,★☆☆,corpus_highfreq,"1658 a mihcaan mapatay ci Ke-lun-wi-al, u wawa niCa-li-wi-al, ku micalukay mipupuay tu tapang, ci Ca-li nayi’ ku icelang mipenec tu paculiay nu kakitaan atu hitay, malawlaw ku cen-ce nu Ing-kow, musakamu ku tatingilan nu kanatal muliyaw au nu hungtiay, ci Ca-li milakalak i Hwa-kow, Ca-li-al-se namahiza apanukas i lng-kow.",
austria,,★☆☆,corpus_highfreq,Alexander Van der Bellen is an Austrianpolitician and economist who is the 12th and current State President of Austria since 26 January 2017.,
ay,,★☆☆,corpus_highfreq,"1553amihcaan 3 ay abulad tayda cinida i into malahitay kiyu patalumaan cinida,",
ayaman,,★☆☆,corpus_highfreq,"2000 a mihcaan patizeng tu Ma-cu kasikac nu subal yen-o a pidiputan, angangan tuce tu Pay-mey-yen-o,cang-yen-o, bung-tow-yen-o,hey-wi-o, yen-lu, ca-wi-i-yen hatuni 7 a lamangan ku ayaman. 2000 a mihcaan 6 a bulad naitini maazih i kitakit a ayaman hung-pi-suan pasilac u malapesay tu nu lumeni’ay laway twan-hung-to-yen-o 4 a malaacawa, paymihcaan u pikinaulan tu yen-o i 5 a bulad katukuh 8 a bulad.",
ayaway,,★☆☆,corpus_highfreq,"1070 a mihcaan miliyas tu La-s, micumud tu Ke-li-ni-ing-siw-yen mala siw-s, migingkiw tu ciwlu a cudad, zikuz mala yen-cung tu. 1079 a mihcaad ci U-al-pan-al-s kanamuhan nu ayaway a cyaw-hwang-Ke-lyeke-ci-s, mapaculcul tayza i Luma cyaw-tin mikawaw, 1084 a mihcaan nu cyaw-hwang a piculcul mumul Te-kow micuay masasuayaw tu cyaw-cung-ke-men-san-se.",
ayda,,★☆☆,corpus_highfreq,"&quot; ayda hantu inai ku lihalay hananay a sasakamuen. anu caaytu ka cinlaw ku katalumaan, alaw ahiyan numidebungay tuluma' niyam mipatay.&quot; ci Josephine Adiemis (阿迪米斯) mahini sa.",
aydaay,,★☆☆,corpus_highfreq,"&quot;mukilimay tu liyung a padungiay ci Laya&quot; (kamu nu Inggu: Raya and Last Dragon, nu Sing-ka-pe-lu a pibelihan sa 《尋龍奇緣》[ya mikilimay tu layung kalalitemuhan], nu Hulam ya Ta-lu hananay pibelihan sa 《尋龍傳說》[mikilimay tiya layung a nakamuan sa], nu Siyang-kang a pibelihan sa 《魔龍王國》[nu di'tuay a liyung masahungtiay]), u masa nu aydaay 2021 mihcaan i Amilikaay manggay patalaway nipakucungan a kacudu, mamisaigaay a situngusay sa ya Hwa-te Ti-se-ni manggaay a nalimaan, u sakay nu Ti-se-niay ka",
ba,,★☆☆,corpus_highfreq,"1949 a mihcaan 6 abulad 6 ademiad, u sitangahay ci yang-in-pin i “ pulung a sinbun” nu sakabit “taywan nikaudip” anisulitan, alan ku n iyi-nen a “ taywan lalangawan” acuda matucek “ taywan sapikinkiw sapicudacacay ba taan” sa.",
ba'tuay,,★☆☆,corpus_highfreq,"anuhicasa, katuuday numikikiway a tademaw saan, Madagascar (馬達加斯加) u aydaay henay nu patidenga asiluma nu muenengay (itini i Madagascar (馬達加斯加), inai henay ku secisetay a nisulitan nu ba'tuay a mihecaan [石器時代]), numikilulay satu nu dumaan a binacadan a mabulaw sa（tinaku sa A-la-puo a tademaw (阿拉伯人 [Arabs]) atu Indu' (印度人[Indians]) malalamel aca tu i niyaduay a tademaw.[https://www.wildmadagascar.org/chinese-tw/kids/04-people.html]",
babalakiay,,★☆☆,corpus_highfreq,"1996 mihcaan sabaw tusa a bulad, cu-cu’-yen aci Saw-lin-se ci Ta-lin pakasinganganen tu sakasepat nu kitakid angangan nu wenu midiputay a kakulian. 1997 mihcaan, He-nan Saw-lin-se kusi tawya patideng, mikilim tu sakay lin-he-kuo kitakid namaka babalakiay a nikasinganganan. mangalay papataduan misangan tu sapisangan a kalisiw, kinapina misinsi, sadikuday itida tu i 2010 mihcaan wal bulad cacy demiad saka 34 cie kitakid liwan namaka babalakiay maadih nu lin-he-lu wenciaw kapulungn mahangen, pahiya",
baeket,,★☆☆,corpus_highfreq,"(八)Manamuh kaku tayni I tini micudad u luma’ ni saydan masatezep , i tini tapalen mu maku salungaay sakaku , u sielihen baeket u zuma ku kapah nu balucu’ maku sapeh sa ku ni nabalucu’an a zateng sadakadakai sa kaku a minanam tu kamu nu Sakizaya a patukuh ,tu sasakamuan nu Sakizaya",
bai,,★☆☆,corpus_highfreq,"1596 a mihcaan ci Ti-ka-al lecuh i Hwa-kow-an-te-al-low-ya-al-a kuwanan nu Tu-lay-na-la-hay “ayza sumad han ci Ti-ka-al a mikineng tuyni kasenengan a tademaw”. caay ku kakitaan a labu nu lumma’ ciniza, wama Joachim u Ley-en-a Pu-li-ta-si a ginging. cacay henay ku mihcaan u wina mahaykaku mapatay, ciniza satu malalid tu, malawacu ku uzzip yadah ku imelang. mapatay ku ina zikaz, wama niza malimad munen zumaay a niyazu’ siacawa aca, subelid han pabeli tu bai niza tu ku pahabanay ci Ti-ka-alan, nama",
baki,,★☆☆,corpus_highfreq,# babalaki 長輩 kasikazen nu mita ku babalaki.thumb|tatayna babalakithumb|babalaki # balakiay 長大的 balakiay tu kina katalalan. # nababalakian 祖先 nababalakian a icelang kiyu mutizeng ku luma'. # nikabalaki 長大過程 kapah ku nikabalaki niya wawa. # sababalakiay 耆老（最年長的） u sababalakiay i niyazu' ci baki aku.,
balad,,★☆☆,corpus_highfreq,"1945 mihecaan waluay a bulad sabaw-lima a demiad, mademec ku Nipun, masatezep tu sakatusaay ngangayaw nu kitakit. malasulit nu Ya-al-da a lubang nipisilsil, Zaw-sen-pan-daw u Amilika atu Su-lan kapulungan mikuwan sa, i 38 tu balad tu mawawada. i tiya mihecaan waluay a bulad tusaay bataan izaw ku enem a demiad, i amisay ptizeng tu pin-an-nan-daw Zen-mim-ceng-ze-wuy-yun-hay sapinanunuz a sing-ceng- ci-kuw. i 10 a bulad 10 a demiad, Zaw-san Kung-zan-dang Pe-zaw-sen mapatizeng, 11 a bulad 18 ademiad",
bali,,★☆☆,corpus_highfreq,"&quot;dihep nu bali&quot; (風の谷) u micapiay tu bayu masaadidiay nu hungtiay a kanatal, namapaading nu bali nu bayu, kyu caay pakadebung kuya Huhay a kilakilangan cilekay micumud, sisa masimaw henay sikatukuh ayda. u tatayna a wawa ni ci Ci-el u dihep nu baliay a tapang ku nu dihepay a kung-cu, kaladamsayan hinadihi atu sipunu matalul aca cinida, u ngangan nida sa ci Na-u-si-ka han sabaw enem ku mihcaan.",
baluan,,★☆☆,corpus_highfreq,"Kanbuli si ngangan aca tu kankuli, nui Ouzhou a langawan, patayni han i Taywan, liwasak satu i tepadtepadan nu bayu. hina adih kita i palumaay tu baluan atu sasapayuan a langawan.",
balucu,,★☆☆,corpus_highfreq,"2022 mihcaan 12 bulad 15 demiad, Taypak 101 sinbung kisa masasakamu patahekal tu aydaay nu panpawaay nu silamalay a sasakamuen , “ midiput tu kitakid melimelitan ku nidatengan” atu 30 sasulitan nu mitanengay nu mitiyungay, sakamusa ku mikawaway saan: saayaway itini i naluma’an a 360 tu a paimung tu panpawaay nu silamalay, pasu T-PAD, lei-se amelikay, tinnaw dinki, itini sakay panpawan nu silamalay han idaw ku tahekalay nu “ maudipay a kilan”, “ matawaay nu “bihid”, “ lihadayay a banul” nu panpaw",
baluhayay,,★☆☆,corpus_highfreq,"* sakacacay a dadiw-balud, maala ku Taywan Cinciu kawlah sakapahay a dadiw-balud. zumasatu maala Taywan kya mihcan sakapahay kalulikitan dadiw mudadiw a balud, sakapahay misanga'ay atu sakapahay a sadadiw. maala aca ku Sinkapol Cinciu kawlah sakapahay baluhayay a mudadiway. * sakatusa a dadiw-balud &quot;Fantesi&quot;, maala sakapahay a dadiw-balud, sakapahay mitulik-dadiw, atu lima a kawlah nu Cinciu kawlah. * nazikuzay tulu a mihcan sa, palamadac ciniza. uyzasa saka &quot;semilaway balu a ceci",
balungaan,,★☆☆,corpus_highfreq,"(1) “ u kikay ku sapicuduh” ya balungan hina u kikay ku sapicuduh sa. anu idaw ku nipipacumudan tu sapicuduh tu kikayan atu taneng u kikay ku sapicuduh, nika hatidaay tu caay namin kaw u kikay ku micuduhan, hakiya u caayay pacumud tu kikay, caay kaw nu “ kikayay a balungan”. hatu hatidaay nu nipacunaan tu balungaan, anu pacumuden tu kikay anu caay cukaymasi u “sasilud tu” “ hucunu imian” saan tu “ payaypay a balungan” u caayay kaw u kikayay a balungaan, caay kaw u kikayay nu balungaan. kanahatu ",
baluwan,,★☆☆,corpus_highfreq,"Balaut a wang-ce (kamu nu De-yi(德語): Der Froschkönig oder der eiserne Heinrich sa), idaw aca ku duma a kamu Balaut a wang-ce atu  katinengan mukinay baluwan Heng-li han,",
baluwang,,★☆☆,corpus_highfreq,"Pinaatatadwmawan matucek nina libung u Covid Omicron XBB a imelangay sadikuday pasaydan namin i nayay ku akuti‘ cayay ka adada, misasing tu x han nanay maadih i baluwang nu bala‘ .",
ban,,★☆☆,corpus_highfreq,"10 a se-ci Li-ca-wi hungti a ziday itini pahecek tu tukay, u cacay atabakiay a kilang a zayliw sapisanga’ tu cacay tulu ku tungduh nu badahung a biyu, miala tu ban a sulit ngangan “Cya-s-te-man-ta-pu” han “Kasthamandap” niyul u Ni-pow-al a kamu tu Cya-s-te-man-tu, imi u “dudang kilang biyu”. zikuz a uyni a nisanga’an malu angangan amihayma misanga’ tu luma’, patahkal palahad, Cya-s-te-man-tu mala tukay tu a ngangan.",
bang,,★☆☆,corpus_highfreq,"Canada(加拿大) kamu nu United Kingdom, kamu nu France, Canada, IPA u kaku sa/ˈkænədə/（ing a kamu）/kanada/（ba’a kamu）”i kaamisan a Amilikaan (Pey-miy-zuw(北美洲) a kanatal, nutipan i sasa nu waliyu (太平洋), nuwalian a katukuh i saetipyu(大西洋), nuamisan a kuli a bayu katukuh i Ba-bing-yang, nuwalian nuwamisanay atu Denmark (丹麥) a lalaan mapapauwan tu Greenland, nuwamisan atu Sen-pi-ye(聖皮耶) mapapauwan tu Mi-ke-lung-yung-daw(密克隆群島), tunulan atu satipan atu A-mi-li-ka(美國) matatulas ku lala', Canada(加拿大) a ku ",
